id	title	date	price	location	link
postid_7427708575	2021 Kawasaki KLX 230, 800 miles, Givi trunk, like new!	Jan  2	$5,500	 (marina / cow hollow)	https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-2021-kawasaki-klx-miles/7427708575.html
postid_7427705522	Honda CRF 450R	Jan  2	$3,250	 (Livermore east bay area )	https://sfbay.craigslist.org/eby/mcy/d/livermore-honda-crf-450r/7427705522.html
postid_7427705342	Suzuki Intruder VL 1500	Jan  2	$5,000	 (santa cruz)	https://sfbay.craigslist.org/scz/mcy/d/santa-cruz-suzuki-intruder-vl-1500/7427705342.html
postid_7427686490	2004 crf230	Jan  2	$3,000	 (fremont / union city / newark)	https://sfbay.craigslist.org/eby/mcy/d/fremont-2004-crf230/7427686490.html
postid_7427686242	2014 Ducati Hyperstrada 821	Jan  2	$8,000	 (San Jose south bay area )	https://sfbay.craigslist.org/sby/mcy/d/san-jose-2014-ducati-hyperstrada-821/7427686242.html
postid_7427609792	2016 Harley-Davidson® Softail Slim V Twin 1689.5 cc	Jan  2	$15,790	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2016-harley-davidson-softail/7427609792.html
postid_7427568427	2009 Kawasaki Vulcan 900 Special Edition	Jan  1	$4,600	 (napa county)	https://sfbay.craigslist.org/nby/mcy/d/angwin-2009-kawasaki-vulcan-900-special/7427568427.html
postid_7427542958	2016 KX 450F 5500 obo	Jan  1	$5,500	 (Discovery Bay east bay area )	https://sfbay.craigslist.org/eby/mcy/d/discovery-bay-2016-kx-450f-5500-obo/7427542958.html
postid_7427541762	2009 Kawasaki KLX140L	Jan  1	$2,300	 (aptos)	https://sfbay.craigslist.org/scz/mcy/d/aptos-2009-kawasaki-klx140l/7427541762.html
postid_7427532385	1997 Honda VFR750F	Jan  1	$1,900	 (sonoma)	https://sfbay.craigslist.org/nby/mcy/d/eldridge-1997-honda-vfr750f/7427532385.html
postid_7427530410	2011 Yamaha WR 250	Jan  1	$3,400	 (hollister)	https://sfbay.craigslist.org/sby/mcy/d/spreckels-2011-yamaha-wr-250/7427530410.html
postid_7427525332	BMW RNineT	Jan  1	$9,750	 (los gatos)	https://sfbay.craigslist.org/sby/mcy/d/redwood-estates-bmw-rninet/7427525332.html
postid_7427518397	2018 KTM 350 sxf	Jan  1	$6,800	 (Mount Hermon santa cruz co )	https://sfbay.craigslist.org/scz/mcy/d/mount-hermon-2018-ktm-350-sxf/7427518397.html
postid_7427503259	2021 125cc Apollo DB-X14 Pit Bike	Jan  1	$1,500	 (brentwood / oakley)	https://sfbay.craigslist.org/eby/mcy/d/knightsen-cc-apollo-db-x14-pit-bike/7427503259.html
postid_7427502331	Brand New SSR Buccaneer +  Riding Gear and Custom Equipment	Jan  1	$5,200	 (emeryville)	https://sfbay.craigslist.org/eby/mcy/d/emeryville-brand-new-ssr-buccaneer/7427502331.html
postid_7427496075	PitsterPro LXR160 Pit Bike	Jan  1	$2,400	 (brentwood / oakley)	https://sfbay.craigslist.org/eby/mcy/d/knightsen-pitsterpro-lxr160-pit-bike/7427496075.html
postid_7427494888	2009 SDG 125	Jan  1	$1,250	 (brentwood / oakley)	https://sfbay.craigslist.org/eby/mcy/d/knightsen-2009-sdg-125/7427494888.html
postid_7427485721	2005 Triumph Bonneville T100	Jan  1	$4,800	 (Pleasanton east bay area )	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-2005-triumph-bonneville-t100/7427485721.html
postid_7427476133	Electric Scooter/Moped Vespa Style!! Brand NEW!	Jan  1	$2,895	 (bayview)	https://sfbay.craigslist.org/sfc/mcd/d/san-francisco-electric-scooter-moped/7427476133.html
postid_7427473438	2021 Ducati Streetfighter V4 S  **No ADM***We Want your trade ins****	Jan  1	$24,595	 (alamo square / nopa)	https://sfbay.craigslist.org/sfc/mcd/d/chatsworth-2021-ducati-streetfighter-v4/7427473438.html
